Family,Genus,Species,Region of origin,Range size,Elevational range,SVL_m,SVL_f,Adult habitat,Larval habitat,Clutch size,Clutch size class,Egg depos site, Development,FDI
Aromobatidae,Allobates,marchesianus,America,1913449.48,1217.6,16.3,26.4,lit,len,14,A,ter,i,SD
Aromobatidae,Anomaloglossus,stepheni,America,24168.75,1217.6,17.0,18.0,lit,ter,6,A,ter,i,SD
Arthroleptidae,Arthroleptis,adelphus,Africa,471769.61,2003,29.0,33.1,lit,none,51,A,ter,d,SD
Arthroleptidae,Arthroleptis,poecilonotus,Africa,738639,1199,27.0,31.0,lit,none,29,A,ter,d,SD
Arthroleptidae,Arthroleptis,stenodactylus,Africa,2386661.02,1960,33.0,44.0,lit,none,80,A,ter,d,NR
Arthroleptidae,Arthroleptis,sylvaticus,Africa,1013495.74,1900,21.2,21.9,lit,none,20,A,ter,d,SD
Arthroleptidae,Arthroleptis,variabilis,Africa,1795153.2,1359,10.5,42.0,lit,none,68,A,ter,d,SD
Arthroleptidae,Arthroleptis,wahlbergii,Africa,50859.91,1000,18.0,22.0,lit,none,30,A,ter,d,NR
Arthroleptidae,Arthroleptis,xenodactyloides,Africa,1481.64,2000,17.0,27.0,lit,none,20,A,ter,d,NR
Arthroleptidae,Cardioglossa,gracilis,Africa,660912.32,1446,37.8,40.0,lit,lot,48,A,ter,i,SD
Arthroleptidae,Leptopelis,brevirostris,Africa,543127.2,1100,45.0,64.0,s-arb,none,NA,E,ter,i,SD
Arthroleptidae,Leptopelis,calcaratus,Africa,1884906.04,1500,42.0,57.0,s-arb,len,NA,D,ter,i,SD
Arthroleptidae,Leptopelis,flavomaculatus,Africa,805972.28,1217.6,50.0,70.0,arb,len,NA,E,ter,i,D
Arthroleptidae,Leptopelis,mossambicus,Africa,379280.3,1217.6,52.0,63.0,arb,len,NA,E,ter,i,D
Arthroleptidae,Leptopelis,rufus,Africa,236932.47,1757,55.0,87.0,arb,lot,NA,F,ter,i,SD
Arthroleptidae,Trichobatrachus,robustus,Africa,217523.72,1458,130.0,90.0,lit,lot,721,D,aqu,i,SD
Brevicipitidae,Breviceps,adspersus,Africa,2329163.99,1400,47.0,60.0,fos,none,95,A,ter,d,D
Brevicipitidae,Breviceps,mossambicus,Africa,1606225.44,1800,33.0,52.0,fos,ter,25,A,ter,i,I
Bufonidae,Adenomus,kelaartii,Asia,4928.03,1670,33.0,50.0,s-arb,lot,1000,E,aqu,i,NR
Bufonidae,Amietophrynus,garmani,Africa,1754477.81,2000,74.0,115.0,lit,len / lot,2000,F,aqu,i,NR
Bufonidae,Amietophrynus,gutturalis,Africa,5933446.92,1800,90.0,120.0,lit,len,25000,I,aqu,i,NR
Bufonidae,Atelopus,pulcher,America,9259.31,300,29.3,35.1,lit,lot,600,D,aqu,i,SD
Bufonidae,Bufoides,meghalayanus,Asia,305.09,20,41.0,56.4,lit,len,NA,C,aqu,i,I
Bufonidae,Duttaphrynus,kotagamai,Asia,30.31,920,40.3,62.7,lit,lot,NA,E,aqu,i,D
Bufonidae,Duttaphrynus,melanostictus,Asia,600.82,1800,83.0,150.0,lit,len,40000,J,aqu,i,NR
Bufonidae,Incilius,cristatus,America,100.08,100,54.8,87.3,lit,lot,NA,F,aqu,i,D
Bufonidae,Incilius,valliceps,America,603359.39,1850,76.0,82.0,lit,len,NA,F,aqu,i,NR
Bufonidae,Ingerophrynus,celebensis,Asia,180051.98,1217.6,59.0,80.0,lit,len / lot,NA,F,aqu,i,NR
Bufonidae,Mertensophryne,loveridgei,Africa,56624.03,1217.6,35.0,38.0,lit,len,131,B,aqu,i,NR
Bufonidae,Pedostibes,kempi,Asia,6.17,1,30.0,56.4,arb,lot,NA,A,aqu,i,SD
Bufonidae,Rhinella,granulosa,America,10992958.86,1217.6,70.0,90.0,lit,len,900,D,aqu,i,NR
Bufonidae,Rhinella,marina,America,9689511.58,3000,187.0,287.0,lit,len / lot,36100,J,aqu,i,NR
Bufonidae,Schismaderma,carens,Africa,2955848.16,1217.6,88.0,92.0,lit,len,20000,I,aqu,i,NR
Centrolenidae,Hyalinobatrachium,fleischmanni,America,405988.89,1800,25.5,32.0,arb,lot,30,A,arb,i,SD
Centrolenidae,Vitreorana,oyampiensis,America,822656.57,810,21.0,24.0,arb,lot,20,A,arb,i,D
Ceratophryidae,Ceratophrys,cornuta,America,5285910.29,400,77.0,120.0,lit,len,2270,F,aqu,i,SD
Craugastoridae,Craugastor,alfredi,America,33650.37,600,36.0,45.0,lit,none,NA,B,ter,d,SD
Craugastoridae,Craugastor,berkenbuschii,America,56056.05,1500,69.5,93.0,s-aqu,none,NA,F,ter,d,SD
Craugastoridae,Craugastor,decoratus,America,5298.29,1378,45.0,60.0,s-arb,none,46,A,ter,d,NR
Craugastoridae,Craugastor,fitzingeri,America,273537.28,1520,35.0,52.5,s-arb,none,85,A,ter,d,NR
Craugastoridae,Craugastor,mexicanus,America,43635.86,1920,28.1,39.5,lit,none,NA,A,ter,d,SD
Craugastoridae,Craugastor,pygmaeus,America,16205.21,2000,18.0,18.0,lit,none,NA,A,ter,d,NR
Craugastoridae,Craugastor,spatulatus,America,85.95,1217.6,23.6,32.0,s-arb,none,NA,A,ter,d,SD
Craugastoridae,Craugastor,uno,America,321.31,1217.6,47.1,62.5,lit,none,NA,E,ter,d,SD
Craugastoridae,Craugastor,vulcani,America,1593.35,800,47.1,73.0,lit,none,NA,E,ter,d,D
Craugastoridae,Pristimantis,achatinus,America,184759,2330,36.0,46.0,s-arb,none,57,A,ter,d,NR
Craugastoridae,Pristimantis,chloronatus,America,7932.73,1500,30.3,36.9,s-arb,none,40,A,ter,d,NR
Craugastoridae,Pristimantis,fenestratus,America,3557857.79,1850,39.3,51.0,s-arb,none,48,A,ter,d,NR
Craugastoridae,Pristimantis,festae,America,1795153.2,1340,21.5,23.0,lit,none,NA,A,aqu,d,SD
