order,family,genus,species,iucn,SVL,SVLreliability,habitatNumber,food,pet,medicine,research,religion,other
Anura,Brachycephalidae,Brachycephalus,didactylus,LC,9.7,1,1,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,iberia,CR,10,1,1,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,pintoi,DD,10.2,0,3,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,tridactyla,DD,10.5,0,3,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,pygmaea,VU,11,1,3,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,limbatus,VU,11.775,1,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,cryptotis,DD,12.3,99999,6,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Amietophrynus,chudeaui,DD,12.5,1,1,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Pseudophilautus,semiruber,DD,12.7,1,1,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Noblella,myrmecoides,LC,12.8,1,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,orientalis,CR,12.9,1,1,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,villiersi,VU,12.9,1,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,tetajulia,CR,13,1,1,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,parvulus,LC,13.315,0,11,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,mababiensis,LC,13.47,99999,19,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Adelophryne,adiastola,LC,13.475,1,1,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,adelus,EN,13.5,1,1,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,kethuk,99999,13.5,1,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,ungujae,EN,13.5,1,4,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Wakea,madinika,DD,13.8,1,3,99999,99999,99999,99999,99999,99999
Anura,Brachycephalidae,Brachycephalus,pernix,DD,13.85,1,1,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,fichika,99999,13.9,0,99999,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,kidogo,99999,14,0,99999,99999,99999,99999,99999,99999,99999
Anura,Batrachylidae,Batrachyla,leptopus,LC,14,0,7,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,asperginis,EW,14,1,1,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,cubanus,CR,14,1,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,tetradactyla,DD,14,0,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,taiensis,DD,14,0,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,tokba,LC,14,0,3,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Noblella,heyeri,DD,14,1,4,99999,99999,99999,99999,99999,99999
Anura,Brachycephalidae,Brachycephalus,alipioi,DD,14.4,1,1,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,hosmeri,LC,14.5,99999,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,helenae,CR,14.5,1,1,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,linnaeus,99999,14.6,1,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,scheffleri,LC,14.6,1,10,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Pseudophilautus,malcolmsmithi,EX,14.9,0,1,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Noblella,lochites,NT,14.9,0,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,fulguritus,LC,15,1,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,unicolor,VU,15,1,2,99999,99999,99999,99999,99999,99999
Anura,Hylidae,Pseudacris,ocularis,LC,15,1,9,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,kely,LC,15,0,5,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,tomaiodactylus,99999,15,1,99999,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,gimmeli,LC,15,0,3,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,psologlossa,DD,15,0,3,99999,99999,99999,99999,99999,99999
