"","authorizer","enterer","modifier","reference_no","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","basis","language","doi","comments","project_name","project_ref_no","created","modified"
"18","M. Uhen","M. Uhen","",28166,"T. H.","Aldrich","W. B.","Jones","",1930,"Footprints from the coal measures of Alabama","Alabama Museum of Natural History Museum Paper","","9","","1","64","journal article","stated without evidence","English","","","",NA,"2008-09-18 08:21:39","2008-09-19 01:21:39"
"38","J. Mueller","T. Liebrecht","",31059,"J. S.","Anderson","","","",2002,"Revision of the A�stopod Genus Phlegethontia (Tetrapoda: Lepospondyli)","Journal of Paleontology","","76","6","1029","1046","journal article","stated without evidence","English","10.1666/0022-3360(2002)076<1029:ROTAGP>2.0.CO;2","","",NA,"2009-11-03 08:21:28","2009-11-04 03:21:28"
"39","J. Mueller","T. Liebrecht","",28830,"J. S.","Anderson","","","",2003,"A New A�stopod (Tetrapoda: Lepospondyli) from Mazon Creek, Illinois","Journal of Vertebrate Paleontology","","23","1","79","88","journal article","stated without evidence","English","","","",NA,"2008-12-19 10:50:03","2008-12-20 05:50:03"
"40","M. Carrano","M. Carrano","",27263,"J. S.","Anderson","A. C.","Henrici","S. S. Sumida, T. Martens, D. S. Berman",2008,"Georgenthalia clavinasica, a new genus and species of dissorophoid temnospondyl from the Early Permian of Germany, and the relationships of the family Amphibamidae","Journal of Vertebrate Paleontology","","28","1","61","75","journal article","stated without evidence","English","","","ETE",NA,"2008-05-27 14:08:38","2008-05-28 07:08:38"
"41","J. Mueller","T. Liebrecht","",40439,"J. S.","Anderson","R. R.","Reisz","",2003,"A new microsaur (Tetrapoda: Lepospondyli) from the Lower Permian of Richards Spur (Fort Sill), Oklahoma","Canadian Journal of Earth Sciences","","40","4","499","505","journal article","stated without evidence","English","10.1139/e02-066","","",NA,"2012-02-27 12:23:41","2012-02-27 12:23:41"
"43","J. Mueller","T. Liebrecht","",30433,"J. S.","Anderson","D.","Scott","R. R. Reisz",2009,"Nannaroter mckinziei, a New Ostodolepid �Microsaur� (Tetrapoda, Lepospondyli, Recumbirostra) from the Early Permian of Richards Spur (Ft. Sill), Oklahoma","Journal of Vertebrate Paleontology","","29","2","379","388","journal article","stated without evidence","English","10.1671/039.029.0222","","",NA,"2009-07-29 09:21:18","2009-07-30 02:21:18"
"62","J. Alroy","E. Leckey","E. Leckey",9765,"J. G.","Armstrong-Ziegler","","","",1978,"An aniliid snake and associated vertebrates from the Campanian of New Mexico","Journal of Paleontology","","52","2","480","483","journal article","stated without evidence","","","","",NA,"2004-01-29 15:39:37","2004-01-30 10:39:37"
"76","J. Alroy","S. Kuemmell","J. Alroy",15696,"J.","Augusta","","","",1938,"Prispevek k poznani ontogenetickeho vyvoje stegocephala Branchiosaurus umbrosus Fr. ze spodnopermskych vapencu z Olivetina u Broumova v Cechach.; (Contribution to the knowledge of the ontgenetic development of the stegocephalian Branchiosaurus umbrosus Fr. from the Lower Permian limestone of Olevetin, close to Broumov, Boheme).","Vestnik Kralovske Ceske Spolecnosti Nauk, Trida Methematicko-Prirodovedecka; (Soc. Roy. Sci. Boheme, Mem.)","","8","","1","9","journal article","stated without evidence","other","","classified by GeoRef as being in Russian, but actually in Czech","5%",47420,"2006-01-24 01:38:25","2006-12-12 13:03:56"
"77","R. Butler","E. Dunne","",58036,"J.","Augusta","","","",1947,"Prispevek k poznani stegocephalu z Tremosenskeho svrchniho Karbonu (Cochleosaurus bohemicus Fr.) [in Czech]","Priroda Brno","","39","","145","149","journal article","stated without evidence","other","","","",NA,"2016-02-11 10:02:03","2016-02-12 03:02:03"
"103","M. Carrano","M. Carrano","",26886,"A. O.","Averianov","T.","Martin","P. P. Skutschas, A. S. Rezvyi, A. A. Bakirov",2008,"Amphibians from the Middle Jurassic Balabansai Svita in the Fergana Depression, Kyrgyzstan (Central Asia)","Palaeontology","","51","2","471","485","journal article","stated without evidence","English","10.1111/j.1475-4983.2007.00748.x","","ETE",NA,"2008-03-28 13:25:11","2008-03-29 07:25:11"
"105","P. Mannion","J. Tennant","",45983,"A. O.","Averianov","P. P.","Skutschas","A. V. Lopatin, S. V. Leschinskiy, A. S. Rezvyi, A. V. Fayngerts",2005,"Early Cretaceous mammals from Bol'Shoi Kemchug 3 locality in West Siberia, Russia","Russian Journal of Theriology","","4","1","1","12","journal article","stated with evidence","English","","","",NA,"2013-03-27 00:47:39","2013-03-27 00:47:39"
"108","M. Carrano","M. Carrano","M. Carrano",14369,"A. O.","Averianov","A. V.","Voronkevich","",2002,"A new crown-group salamander from the Early Cretaceous of western Siberia","Russian Journal of Herpetology","","9","3","209","214","journal article","stated without evidence","English","","","ETE",NA,"2005-09-06 11:42:25","2005-09-07 04:42:28"
"115","P. Mannion","P. Mannion","",49783,"A. M.","Baez","","","",1991,"A new early Paleocene neobatrachian frog from the Santa Lucia Formation in south central Bolivia, and comments on the Cretaceous and early Tertiary batrachofaunas of South America","Revista T�cnica de Yacimientos Petrol�feros Fiscales Bolivianos","","12","3-4","529","542","journal article","stated with evidence","English","","","",NA,"2014-01-10 08:20:56","2014-01-11 01:20:56"
"116","P. Mannion","P. Mannion","P. Mannion",44133,"A. M.","Baez","","","",2013,"Anurans from the Early Cretaceous Lagerst�tte of Las Hoyas, Spain: New evidence on the Mesozoic diversification of crown-clade Anura","Cretaceous Research","","41","","90","106","journal article","stated with evidence","English","10.1016/j.cretres.2012.11.002","","",NA,"2013-01-03 06:35:40","2013-02-14 00:53:50"
"117","J. Alroy","J. Alroy","",31011,"A. M.","Baez","G. J. B.","Moura","R. O. G�mez",2009,"Anurans from the Lower Cretaceous Crato Formation of northeastern Brazil: implications for the early divergence of neobatrachians","Cretaceous Research","","30","4","829","846","journal article","stated with evidence","English","10.1016/j.cretres.2009.01.002","","",NA,"2009-10-29 10:22:50","2009-10-30 04:22:50"
"118","J. Alroy","J. Alroy","J. Alroy",31025,"A. M.","Baez","S.","Peri","",1990,"Revision de Wawelia gerholdi, un anuro del Mioceno de Patagonia","Ameghiniana","","27","3-4","379","386","journal article","stated with evidence","Spanish","","","",NA,"2009-11-01 08:16:01","2009-11-02 06:29:50"
"119","J. Alroy","J. Wertheim","J. Alroy",11767,"A. M.","Baez","L. A.","Pugener","",1998,"A new Paleogene pipid frog from northwestern Patagonia","Journal of Vertebrate Paleontology","","18","3","511","524","journal article","stated with evidence","English","","","",NA,"2004-10-14 09:34:14","2008-11-07 10:59:46"
"120","J. Alroy","J. Alroy","",31028,"A. M.","Baez","L.","Trueb","",1997,"Redescription of the Paleogene Shelania pascuali from Patagonia and its bearing on the relationships of fossil and Recent pipoid frogs","Scientific Papers, Natural History Museum, University of Kansas","","4","","1","41","journal article","stated with evidence","English","","","",NA,"2009-11-01 13:03:29","2009-11-02 08:03:29"
"131","M. Carrano","M. Carrano","M. Carrano",34432,"C.","Barbera","L.","Macuglia","",1988,"Revisione dei tetrapodi del Cretacico Inferiore di Pietraroia (Matese Orientale, Benevento) appartenenti alla collezione Costa del Museo di Paleontologia dell'Universit� di Napoli [Revision of the tetrapods from the Lower Cretaceous of Pietraroia (Eastern Matese, Benevento) belonging to the Costa collection of the Paleontological Museum of the University of Naples]","Memorie della Societ� Geologica Italiana","","41","1","567","574","journal article","stated with evidence","Italian","","","ETE",NA,"2010-12-07 08:05:59","2010-12-07 08:15:27"
"176","M. Carrano","M. Carrano","",24929,"M. J.","Benton","G.","Warrington","A. J. Newell, P. S. Spencer",1994,"A review of the British Middle Triassic tetrapod assemblages","In N. C. Fraser &  H.-D. Sues (eds.), In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods.  Cambridge University Press, Cambridge","","","","131","160","book/book chapter","stated without evidence","English","","","ETE",NA,"2007-07-31 06:50:04","2007-07-31 23:50:04"
"179","J. Mueller","T. Liebrecht","",28758,"D. S.","Berman","","","",1970,"Vertebrate Fossils from the Lueders Formation, Lower Permian of North-Central Texas.","University of California Publications in Geological Sciences","","86","","1","61","serial monograph","","English","","","",NA,"2008-12-11 19:57:42","2008-12-12 14:57:42"
"183","J. Mueller","T. Liebrecht","",40304,"D. S.","Berman","A. C.","Henrici","T. Martens, S. S. Sumida, J. S. Anderson",2011,"Rotaryus gothae, a New Trematopid (Temnospondyli: Dissorophoidea) from the Lower Permian of Central Germany","Annals of Carnegie Museum","","80","1","49","65","journal article","stated without evidence","English","10.2992/007.080.0106","","",NA,"2012-02-21 02:13:00","2012-02-21 02:13:00"
"186","C. Sidor","C. Sidor","M. Carrano",4336,"D. S.","Berman","R. R.","Reisz","D. A. Eberth",1987,"A new genus and species of trematopid amphibian from the Late Pennsylvanian of north-central New Mexico","Journal of Vertebrate Paleontology","","7","3","252","269","journal article","stated without evidence","English","","","5%",23160,"2002-03-04 16:40:39","2006-09-26 07:34:25"
"215","J. Mueller","T. Liebrecht","",28686,"J. R.","Bolt","","","",1969,"Lissamphibian Origins: Possible Protolissamphibian from the Lower Permian of Oklahoma","Science","","166","","888","891","journal article","","English","","","",NA,"2008-12-07 09:33:24","2008-12-08 04:33:24"
"219","R. Butler","R. Butler","",29593,"J. R.","Bolt","S.","Chatterjee","",2000,"A new temnospondyl amphibian from the Late Triassic of Texas","Journal of Paleontology","","74","4","670","683","journal article","stated with evidence","English","","","",NA,"2009-04-01 01:51:44","2009-04-01 19:51:44"
"236","J. Alroy","J. Alroy","",36836,"H.","Bourget","J. S.","Anderson","",2011,"A new amphibamid (Temnospondyli: Dissorophoidea) from the Early Permian of Texas","Journal of Vertebrate Paleontology","","31","1","32","49","journal article","stated with evidence","English","10.1080/02724634.2011.539652","","",NA,"2011-08-01 13:05:48","2011-08-01 13:05:48"
