species,genus,family,order,mni_max,spec_max,lat_range,gcd,grid_cells,tl_max,svl_max,bodysize_min,size_cat,size_ref,bodysize_relative,apl,apl_ref,apl_relative,asl,asl_ref,asl_relative,comment,bonett,size_classes
Acanthostomatops vorax,Acanthostomatops,Zatracheidae,Temnospondyli,NA,NA,0,0,1,,,,,,,,,,75,238,,,,
Acheloma cumminsi,Acheloma,Trematopidae,Temnospondyli,1,1,0,0,1,,,,,,,,,,166,237,,,,
Acheloma dunni,Acheloma,Trematopidae,Temnospondyli,2,6,0,9.50E-05,1,,,,,,,,,,177,217,,,,
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,16,43,0.23728803,28.3650673,1,30,,,,7,,,,,,,,,,
Albanerpeton cifellii,Albanerpeton,Albanerpetontidae,Allocaudata,1,1,0,0,1,NA,,,,266,,,,,,,,,,
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,NA,3,0.54488428,77.49065526,2,66,,,,4,,,,,,,,,,
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,NA,85,0.52360903,2483.264692,4,40,,,,10,,,,,,,,,,
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,NA,33,3.15803801,1050.822647,3,50,,,,10,,,,,16,3,,,,
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,14,79,2.54757261,2290.822013,4,70,,,,10,,,,,,,,,,
Albionbatrachus wightensis,Albionbatrachus,Palaeobatrachidae,Salientia,1,1,0,0,1,,NA,,,273,,,,,,,,,,
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,NA,NA,3.00677215,334.8698169,3,90,,50,,16; 18,,,,,,,,,,
Amphibiopodiscus saltator,Amphibiopodiscus,NA,NA,NA,NA,0,0,1,,,,,,,,,,,,,,,
Anakamacops petrolicus,Anakamacops,Dissorophidae,Temnospondyli,1,1,0,0,1,,,,,,,,,,NA,Li & Cheng 1999: only snout preserved,,,,
Anconastes vesperus,Anconastes,Trematopidae,Temnospondyli,NA,2,0,9.50E-05,1,,,,,,,,,,99,239,,,,
Andrias matthewi,Andrias,Cryptobranchidae,Urodela,1,2,6.67912689,846.2146084,2,1800,,430,,15,,,,,154,15,g,,,
Angusaurus tsylmensis,Angusaurus,Benthosuchidae,Temnospondyli,NA,NA,0,0,1,,,,,,,,,,,,,,,
Anoualerpeton priscus,Anoualerpeton,Albanerpetontidae,Allocaudata,48,402,0,0,1,50,,,,30,,,,,,,,,,
Anoualerpeton unicus,Anoualerpeton,Albanerpetontidae,Allocaudata,NA,NA,0,0,1,50,,,,30,,,,,,,,,,
Antarctosuchus polyodon,Antarctosuchus,NA,Temnospondyli,1,1,0,0,1,,,,,,,,,,624,287,,,,
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,NA,NA,2.990719714,807.4743359,3,NA,,NA,,31;32,,,,,,,,10 to 50 % of size buettneria perfecta,,
Apateon gracilis,Apateon,Branchiosauridae,Temnospondyli,NA,NA,0,0,1,,,,,,,,,,18,240,,,,
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,NA,NA,0.17103487,86.51853056,2,,,,,,,,,,242,37 (3B),,,,
Apodops pricei,Apodops,Caeciliidae,Parabatrachia,1,1,0,0,1,NA,,,,,,,,,,,,,,
Apricosiren ensomi,Apricosiren,NA,Urodela,50,200,0,0,1,,,NA,small,35,,,,,NA,35,,,,
Aralobatrachus robustus,Aralobatrachus,Discoglossidae,Salientia,2,10,0,0.000134414,1,,NA,NA,,,,,,,18,36,,based on length maxillary,,
Arariphrynus placidoi,Arariphrynus,NA,Salientia,NA,NA,0,9.50E-05,1,,,,,,,,,,,,,,,
Arizonerpeton wellsi,Arizonerpeton,Nectridea,Lepospondyli,1,27,0,0,1,NA,,,,,,,,,NA,,,,,
Aspidosaurus chiton,Aspidosaurus,Dissorophidae,Temnospondyli,NA,2,0,0,1,,,,,,,,,,89,241,,,,
Austropelor wadleyi,Austropelor,Brachyopidae,Temnospondyli,1,1,0,0,1,,,,,,,,,,NA,37; mandibular fragment,,,,
Avitabatrachus uliana,Avitabatrachus,NA,Salientia,NA,NA,0,0,1,,35,,,253,,,,,,,,,,
Aygroua anoualensis,Aygroua,NA,Salientia,2,24,0,0,1,,NA,,,206,,,,,,,,,,
Bakonybatrachus fedori,Bakonybatrachus,Discoglossidae,Salientia,1,4,0,0,1,,30,,,14,,,,,,,,,,
Balanerpeton woodi,Balanerpeton,NA,Temnospondyli,27,27,0,0,1,,150,,,comb,,102,237,,48,242,,,,
Banksiops townrowi,Banksiops,Brachyopidae,Temnospondyli,8,46,0.29929762,36.96019825,2,,,,,,,,,,82,42,,,,
Baphetes orientalis,NA,NA,NA,NA,NA,0,0,1,,,,,,,,,g,276,237,g,,,
Bathignathus poikilops,Bathignathus,Brachyopidae,Temnospondyli,1,1,0,9.50E-05,1,,,,,,,,,,212,288,,,,
Batrachopodiscus curvus,Batrachopodiscus,NA,NA,NA,NA,0,0,1,,,,,,,,,,,,,,,
Batrachopodiscus quthingensis,Batrachopodiscus,NA,NA,NA,NA,0,0,1,,,,,,,,,,,,,,,
Batrachopodiscus tsanatalani,Batrachopodiscus,NA,NA,NA,NA,0,0,1,,,,,,,,,,,,,,,
Batrachosuchus concordi,Batrachosuchus,Brachyopidae,Temnospondyli,1,1,0,0.000134414,1,,,,,,,,,,NA,42; juvenile skull,,,,
Batrachosuchus henwoodi,Batrachosuchus,Brachyopidae,Temnospondyli,1,1,0,0,1,,,,,,,,,,126,289,,,,
