species,SVL,TL,reference,date of access
Ambystoma andersoni,140,NA,aw,09.02.2017
Ambystoma bishopi,47.1,NA,aw,09.02.2017
Ambystoma dumerilii,NA,282,aw,09.02.2017
Ambystoma jeffersonianum,78,,aw,09.02.2017
Ambystoma maculatum,NA,250,aw,09.02.2017
Ambystoma mexicanum,NA,300,aw,09.02.2017
Ambystoma ordinarium,86,,aw,09.02.2017
Ambystoma rosaceum,84.8,,aw,09.02.2017
Ambystoma talpoideum,72,116,aw,09.02.2017
Ambystoma tigrinum,NA,200,aw,09.02.2017
Andrias davidianus,NA,1000,aw,09.02.2017
Andrias japonicus,900,1500,aw,09.02.2017
Cryptobranchus alleganiensis,400,740,aw,09.02.2017
Dicamptodon aterrimus,NA,250,aw,09.02.2017
Batrachuperus pinchonii,NA,204,aw,09.02.2017
Batrachuperus tibetanus,NA,211,aw,09.02.2017
Hynobius amjiensis,80,166,aw,09.02.2017
Hynobius boulengeri,107,201,aw,09.02.2017
Hynobius dunni,80,160,aw,09.02.2017
Hynobius kimurae,97,184,aw,09.02.2017
Hynobius lichenatus,70,140,aw,09.02.2017
Hynobius takedai,67,124,aw,09.02.2017
Pseudohynobius flavomaculatus,95,189,aw,09.02.2017
Onychodactylus koreanus,79,NA,aw,09.02.2017
Onychodactylus tsukubaensis,70,NA,aw,09.02.2017
Amphiuma means,928,1160,aw,09.02.2017
Amphiuma pholeter,247,330,aw,09.02.2017
Amphiuma tridactylum,795,1060,aw,09.02.2017
Dicamptodon copei,114,205,aw,09.02.2017
Hynobius yangi,63,110,aw,09.02.2017
Pseudohynobius jinfo,86,199,aw,09.02.2017
Batrachoseps altasierrae,44,,aw,09.02.2017
Batrachoseps bramei,39,,aw,09.02.2017
Batrachoseps diabolicus,45,110,aw,09.02.2017
Bolitoglossa cataguana,50,80,aw,09.02.2017
Chiropterotriton mosaueri,46,110,aw,09.02.2017
Cryptotriton necopinus,26,52,aw,09.02.2017
Eurycea spelaea,70,135,aw,09.02.2017
Gyrinophilus palleucus,100,230,aw,09.02.2017
Isthmura naucampatepetl,83,152.72,aw,09.02.2017
Nototriton guanacaste,34,78.2,aw,09.02.2017
Nototriton tomamorum,27,51,aw,09.02.2017
Nyctanolis pernix,70,150,aw,09.02.2017
Oedipina carablanca,54,128,aw,09.02.2017
Pseudotriton montanus,NA,195,aw,09.02.2017
Pseudotriton ruber,68,180,aw,09.02.2017
Aneides ferreus,65,110,aw,09.02.2017
Desmognathus auriculatus,82,164,aw,09.02.2017
Hydromantes brunus,70,110,aw,09.02.2017
Hydromantes italicus,NA,120,aw,09.02.2017
Karsenia koreana,42,84,aw,09.02.2017
Plethodon asupak,67,125,aw,09.02.2017
Plethodon elongatus,75,150,aw,09.02.2017
Necturus alabamensis,130,220,aw,10.02.2017
Necturus lewisi,170,280,aw,10.02.2017
Rhyacotriton cascadae,51,110,aw,10.02.2017
Rhyacotriton kezeri,55,115,aw,10.02.2017
Cynops ensicauda,77,179,aw,10.02.2017
Cynops orientalis,45,80,aw,10.02.2017
Echinotriton maxiquadratus,86,130,aw,10.02.2017
Laotriton laoensis,87.4,178.6,aw,10.02.2017
Notophthalmus meridionalis,57,110,aw,10.02.2017
Pachytriton brevipes,90,170,aw,10.02.2017
Paramesotriton labiatus,105,190,aw,10.02.2017
Taricha granulosa,87,220,aw,10.02.2017
Triturus anatolicus,71,133,aw,10.02.2017
Tylototriton notialis,73,142,aw,10.02.2017
Tylototriton podichthys,84,142,aw,10.02.2017
Lyciasalamandra luschani,70,140,aw,10.02.2017
Salamandra algira,200,NA,aw,10.02.2017
Salamandra atra,NA,151,aw,10.02.2017
Salamandra corsica,NA,300,aw,10.02.2017
Salamandra infraimmaculata,NA,324,aw,10.02.2017
Salamandra salamandra,NA,250,aw,10.02.2017
Salamandrina terdigitata,30,70,aw,10.02.2017
Pseudobranchus striatus,132,220,aw,10.02.2017
Siren intermedia,483,690,aw,10.02.2017
Siren lacertina,294,980,aw,10.02.2017
