species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Acanthostomatops vorax,52522,Fossilworks,J. Alroy,150298,14125,14125,295,290.1,292.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,517732,31,Sakmarian,yes,temporal single,7.727055414,23.29848619,50.999722,13.650278,0,1,limestone,low,NA,1,y,NA,NA,Acanthostomatops,Zatracheidae
Acheloma cumminsi,28267,Fossilworks,J. Alroy,81713,9228,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296101,33,Kungurian,no,temporal single,0.427583791,-29.702617,33.7,-99.266667,6,1,claystone,low,1,1,y,1,NA,Acheloma,Trematopidae
Acheloma cumminsi,79162,PaleoDB,J. Mueller,81713,5743,43845,296.4,268,282.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,789967,33,Kungurian,no,temporal single,0.061937284,-29.32382698,33.583333,-98.65,6,1,not reported,NA,1,1,y,1,NA,Acheloma,Trematopidae
Acheloma dunni,67862,Fossilworks,J. Alroy,180406,35587,19393,290.1,268,279.05,"fine,gray",NA,NA,coarse,conglomerate,NA,NA,NA,NA,930782,33,Kungurian,yes,temporal single,0.975413717,-28.53860343,34.770556,-98.403889,0,1,claystone,low,6,2,n,217,2 skulls; snout; jaw articulation; pelvic girdle; right humerus,Acheloma,Trematopidae
Acheloma pricei,79162,PaleoDB,J. Mueller,37048,5743,43845,296.4,268,282.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,789968,33,Kungurian,yes,temporal single,0.061937284,-29.32382698,33.583333,-98.65,0,1,not reported,NA,1,1,y,1,NA,Acheloma,Trematopidae
Albanerpeton arthridion,14375,Fossilworks,J. Alroy,114401,26201,3184,112.6,99.7,106.15,NA,sandy,NA,NA,NA,NA,claystone,NA,NA,831984,61,Albian,no,longer,39.15311745,-49.23481731,33.283333,-97.616667,10,2,claystone,low,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,52045,ETE,M. Carrano,114401,39274,13937,112.6,99.7,106.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,721129,61,Albian,no,longer,39.39040548,-49.11491321,33.5331639,-97.5566935,10,2,sandstone,medium 1,9,3,n,2,5 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,14388,Fossilworks,J. Alroy,114401,26201,19641,112.6,99.7,106.15,NA,NA,NA,NA,NA,buff sand,NA,NA,NA,721130,61,Albian,no,longer,39.3617155,-49.15002101,33.500178,-97.582739,10,2,buff sand,medium 1,12,4,n,7,based on 8 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,14392,Fossilworks,J. Alroy,114401,1219,1212,122.46,109,115.73,"concretionary,gray,green,red",NA,NA,"lenticular,brown,yellow",sandstone,NA,NA,NA,NA,520894,60,Aptian,no,longer,36.8040014,-36.90729376,34.4,-96.1,10,2,claystone,low,43,16,n,7,based on 32 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton cifellii,14415,Fossilworks,J. Alroy,156365,6845,1412,91.6,91.4,91.5,green,NA,NA,NA,NA,NA,NA,NA,NA,247987,63,Turonian,yes,temporal single,45.61790019,-70.83122346,37.8,-111.5,0,1,claystone,low,1,1,n,1,based on 1 premaxilla,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14514,Fossilworks,J. Alroy,114403,42675,1129,70.6,66.043,68.3215,"brown,gray",NA,NA,NA,NA,NA,NA,NA,NA,1070845,67,Maastrichtian,no,longer,53.55144824,-71.00888142,41.5683,-108.6678,18,3,mudstone,low,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45893,ETE,M. Carrano,114403,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070842,66,Campanian,no,longer,59.56162628,-65.47417682,49.74078,-110.71584,18,3,siltstone,medium 1,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45674,ETE,M. Carrano,114403,42675,11964,78.8,78.6,78.7,"planar lamination,deformed bedding,brown","argillaceous,silty",NA,NA,NA,NA,NA,NA,NA,1070840,66,Campanian,no,longer,59.58490947,-65.40791584,49.77593,-110.683642,18,3,sandstone,medium 1,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,146192,PaleoDB,M. Carrano,114403,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147020,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,18,3,not reported,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14466,Fossilworks,J. Alroy,114403,42675,1412,83.4,83.2,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070843,66,Campanian,no,longer,48.17852687,-73.67456245,37.4,-111.2,18,3,NA,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45567,ETE,M. Carrano,114403,42675,42675,78.8,78.6,78.7,"deformed bedding,lag","argillaceous,silty","argillaceous,silty","deformed bedding,lag",mudstone,NA,NA,NA,NA,1070839,66,Campanian,no,longer,59.04002519,-66.25186724,49.101848,-110.941038,18,3,sandstone,medium 1,2,1,n,4,small left and large right dentary,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45566,ETE,M. Carrano,114403,42675,42675,81.3,76.2,78.75,tabular,"argillaceous,silty",NA,"deformed bedding,ferruginous",siltstone,NA,NA,NA,NA,1070838,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,18,3,sandstone,medium 1,3,1,y,1,based on 3 specimens of unknown type,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14422,Fossilworks,J. Alroy,114403,42675,1510,85.8,84.9,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146992,65,Santonian,no,longer,57.40091092,-67.04760439,49.1,-111.8,18,3,not reported,NA,6,1,n,1,based on 6 specimens of unknown type (combiend 6 sep. entries),Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,67872,ETE,M. Carrano,156366,42675,19348,84.9,70.6,77.75,"""cross stratification""",NA,NA,NA,NA,NA,NA,NA,NA,1069417,66,Campanian,no,temporal single,60.70011204,-65.55851033,50.75588,-111.52469,7,1,sandstone,medium 2,1,1,n,227,1 maxilla;  corrected pbdb from 12 to1,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,67873,ETE,M. Carrano,156366,42675,19348,84.9,70.6,77.75,"""cross stratification""",NA,NA,NA,NA,NA,NA,NA,NA,1069419,66,Campanian,no,temporal single,60.72039821,-65.22477088,50.84381,-111.304666,7,1,sandstone,medium 2,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
