Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
58647,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Abavorana,luctuosa,"(Peters, 1871)",,,,,Hylarana luctuosa|Rana decorata  |Rana luctuosa  ,,,,LC,,3.1,2014,unknown,N
56054,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Acanthixalus,sonjae,"Rödel, Kosuch, Veith & Ernst, 2003",,,,,"",Ivory Coast Wart Frog,,,NT,,3.1,2006,decreasing,N
56055,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Acanthixalus,spinosus,"(Buchholz & Peters, 1875)",,,,,"",African Wart Frog,,,LC,,3.1,2013,unknown,N
55286,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,crepitans,"Baird, 1854",,,,,"",Northern Cricket Frog,,,LC,,3.1,2004,stable,N
55287,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Acris,gryllus,"(Le Conte, 1825)",,,,,"",Southern Cricket Frog,,,LC,,3.1,2014,stable,N
57660,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Adelastes,hylonomos,"Zweifel, 1986",,,,,Adelastes hylonomus  |Adelastes hylonomus  ,,,Sapito Escondido,DD,,3.1,2004,unknown,N
56299,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,adiastola,"Hoogmoed and Lescure, 1984",,,,,"",Yapima Shield Frog,,,LC,,3.1,2004,stable,N
56300,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,baturitensis,"Hoogmoed, Borges & Cascon, 1994",,,,,"",,,,VU,B1ab(iii),3.1,2004,decreasing,N
56301,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,gutturosa,"Hoogmoed & Lescure, 1984",,,,,"",Guiana Shield Frog,,Ranita Guturosa,LC,,3.1,2009,stable,N
56302,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,maranguapensis,"Hoogmoed, Borges & Cascon, 1994",,,,,"",,,,EN,B1ab(iii),3.1,2004,decreasing,N
56303,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,pachydactyla,"Hoogmoed, Borges & Cascon, 1994",,,,,"",,,,DD,,3.1,2004,unknown,N
158609,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Adelophryne,patamona,"MacCulloch, Lathrop, Kok, Minter, Khan & Barrio-Amorós, 2008",,,,,"",,,,DD,,3.1,2009,stable,N
520,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LIMNODYNASTIDAE,Adelotus,brevis,"(Günther, 1863)",,,,,"",Tusked Frog,,,NT,,3.1,2004,decreasing,N
55179,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,castaneoticus,"(Caldwell & Myers, 1990)",,,,,Dendrobates castaneoticus  ,,,,LC,,3.1,2004,stable,N
55185,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,galactonotus,"(Steindachner, 1864)",,,,,Dendrobates galactonotus  |Dendrobates galactonotus  ,,,,LC,,3.1,2010,stable,N
55197,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Adelphobates,quinquevittatus,"(Steindachner, 1864)",,,,,Dendrobates quinquevittatus  ,,,,LC,,3.1,2004,stable,N
158471,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,ajurauna,"(Berneck, Costa & Garcia, 2008) ",,,,,Leptodactylus ajurauna,,,,DD,,3.1,2009,stable,N
56304,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,andreae,"(Müller, 1923)",,,,,Leptodactylus andreae,Lowland Tropical Bullfrog,,,LC,,3.1,2004,stable,N
56305,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,araucaria,"Kwet & Angulo, 2002",,,,,Leptodactylus araucaria,,,,LC,,3.1,2004,stable,N
56306,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,bokermanni,"(Heyer, 1973)",,,,,Leptodactylus bokermanni,,,,LC,,3.1,2010,stable,N
164916,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,coca,"(Angulo & Reichle, 2008)",,,,,Leptodactylus coca,,,,DD,,3.1,2009,unknown,N
56307,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,diptyx,"(Boettger, 1885)",,,,,Leptodactylus diptyx,,,,LC,,3.1,2004,stable,N
56308,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,heyeri,"Boistel, Massary & Angulo, 2006",,,,,Leptodactylus heyeri,,,,LC,,3.1,2010,stable,N
56309,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,hylaedactyla,"(Cope, 1868)",,,,,Adenomera hylaedactyla  |Leptodactylus diptyx  |Leptodactylus glandulosus  |Leptodactylus hololius  |Leptodactylus hylaedactyla  |Leptodactylus hylaedactylus|Leptodactylus melini  |Leptodactylus minutus  |Leptodactylus poeppigi  ,Napo Tropical Bullfrog,,,LC,,3.1,2010,stable,N
56310,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,lutzi,"Heyer, 1975",,,,,Leptodactylus lutzi,,,,DD,,3.1,2010,unknown,N
56311,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,marmorata,"Steindachner, 1867",,,,,Leptodactylus marmorata  |Leptodactylus marmoratus,,,,LC,,3.1,2010,stable,N
56312,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,martinezi,"(Bokermann, 1956)",,,,,Leptodactylus martinezi,,,,LC,,3.1,2004,stable,N
136001,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,nana,"(Müller, 1922)",,,,,Adenomera marmorata  |Leptodactylus nanus,,,,LC,,3.1,2008,unknown,N
136182,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Adenomera,thomei,"(Almeida & Angulo, 2006)",,,,,Leptodactylus thomei,,,,LC,,3.1,2008,stable,N
54457,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,dasi,"Manamendra-Arachchi and Pethiyagoda, 1998",,,,,"",,,,CR,B1ab(iii)+2ab(iii),3.1,2004,decreasing,N
54458,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,kandianus,"(Günther, 1872)",,,,,"",,,,CR,B1ab(iii),3.1,2012,unknown,N
54459,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Adenomus,kelaartii,"(Günther, 1858)",,,,,Adenomus badioflavus  ,,,,EN,B1ab(iii)+2ab(iii),3.1,2004,decreasing,N
2664,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Afghanodon,mustersi,"(Smith, 1940)",,,,,Batrachuperus mustersi  |Paradactylodon mustersi,,,,CR,B2ab(iii),3.1,2004,decreasing,N
596,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,aureus,"Pickersgill, 1984",,,,,"",Golden Banana Frog,,,LC,,3.1,2013,unknown,N
56056,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,brachycnemis,"(Boulenger, 1896)",,,,,"",Lesser Banana Frog,,,LC,,3.1,2004,decreasing,N
56057,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,clarkei,"Largen, 1974",,,,,Afrixalus clarkeorum,Clarke's Banana Frog,,,EN,B1ab(iii),3.1,2013,unknown,N
56058,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,crotalus,"Pickersgill, 1984",,,,,"",,,,LC,,3.1,2013,unknown,N
56059,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,delicatus,"Pickersgill, 1984",,,,,"",Pickersgill's Banana Frog,,,LC,,3.1,2013,unknown,N
56060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,dorsalis,"(Peters, 1875)",,,,,Hyperolius dorsalis  ,"Brown Banana Frog, Cameroon Banana Frog, Striped Spiny Reed Frog",,,LC,,3.1,2013,increasing,N
136149,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,dorsimaculatus,"(Ahl, 1930)",,,,,Megalixalus dorsimaculatus,,,,EN,B1ab(iii),3.1,2016,decreasing,N
56061,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,enseticola,"Largen, 1974",,,,,"",Ethiopian Banana Frog,,,VU,B1ab(iii),3.1,2013,stable,N
56062,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,equatorialis,"(Laurent, 1941)",,,,,"",Congo Banana Frog,,,LC,,3.1,2013,unknown,N
