"","species","SVL","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus"
"1","Acanthixalus spinosus",36,NA,11.47,2567.84315199686,0.374440344403444,-6.04,"LC","ANURA","HYPEROLIIDAE","Acanthixalus"
"2","Acris blanchardi",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acris crepitans",32.25,3,20.24,3207.76936307611,35.1774200835875,25.49,"LC","ANURA","HYLIDAE","Acris"
"4","Acris gryllus",23.65,2,12.62,1617.87576717189,31.8273779146502,24.95,"LC","ANURA","HYLIDAE","Acris"
"5","Adelophryne adiastola",13.475,1,7.23,957.133987268923,-2.67436363636364,-6.13,"LC","ANURA","ELEUTHERODACTYLIDAE","Adelophryne"
"6","Adelotus brevis",40.75,NA,14.66,1681.37522447835,-27.7076726626693,-35.12,"NT","ANURA","LIMNODYNASTIDAE","Adelotus"
"7","Adelphobates castaneoticus",20.5,3,7.58,1110.71159395605,-5.14638888888889,-9.82,"LC","ANURA","DENDROBATIDAE","Adelphobates"
"8","Adenomera andreae",27,3,27.23,3597.71358917472,1.09054854981084,-17.97,"LC","ANURA","LEPTODACTYLIDAE","Adenomera"
"9","Adenomera hylaedactyla",24.775,3,31.97,4824.07783457425,-0.173190069821567,-21.66,"LC","ANURA","LEPTODACTYLIDAE","Adenomera"
"10","Adenomera simonstuarti",25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Adenomus kelaartii",50,2,1.05,156.929494272007,6.68377358490566,6.16,"EN","ANURA","BUFONIDAE","Adenomus"
"12","Afrixalus aureus",21.5,4,6.57,785.704850097288,-25.7328683914511,-28.95,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"13","Afrixalus clarkei",22.3,3,0.36,156.762678864687,7.35158333333333,7.18,"EN","ANURA","HYPEROLIIDAE","Afrixalus"
"14","Afrixalus delicatus",19.275,1,30.06,3573.75133939332,-13.9595149653547,-29.68,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"15","Afrixalus dorsalis",27,3,22.79,3859.42866496076,2.56331424481031,-13.76,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"16","Afrixalus dorsimaculatus",22.5,3,0.73,157.192236268253,-4.73725925925926,-5.13,"EN","ANURA","HYPEROLIIDAE","Afrixalus"
"17","Afrixalus enseticola",23.75,3,2.24,455.297999707855,7.22790816326531,6.19,"VU","ANURA","HYPEROLIIDAE","Afrixalus"
"18","Afrixalus equatorialis",32.025,NA,6.87,1358.27836819182,-0.291963667820069,-4.05,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"19","Afrixalus fornasini",35,1,28.44,3393.81379033823,-16.5053823627845,-31.61,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"20","Afrixalus fulvovittatus",28,3,3.9,989.600724050333,7.75154523618895,5.25,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"21","Afrixalus knysnae",25,3,0.259999999999998,92.2913059528206,-34.0314444444444,-34.11,"EN","ANURA","HYPEROLIIDAE","Afrixalus"
"22","Afrixalus lacteus",25.65,1,0.31,9.50453877449036e-05,5.0465625,4.91,"EN","ANURA","HYPEROLIIDAE","Afrixalus"
"23","Afrixalus laevis",25,1,10.93,2586.63944548233,1.62779411764706,-4.83,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"24","Afrixalus leucostictus",30,NA,5.69,1112.80403792838,-1.3448,-3.92,"LC","ANURA","HYPEROLIIDAE","Afrixalus"
"25","Afrixalus morerei",22,2,1.07,156.572398653226,-8.03,-8.7,"VU","ANURA","HYPEROLIIDAE","Afrixalus"
"26","Afrixalus nigeriensis",31.9,4,3.65,1909.46107510394,5.29957968476357,4.36,"NT","ANURA","HYPEROLIIDAE","Afrixalus"
