species,genus,family,order,occurrence_no,occurrence.reference_no
Acheloma cumminsi,Acheloma,Trematopidae,Temnospondyli,296101,9228
Albanerpeton arthridion,Albanerpeton,Albanerpetontidae,Allocaudata,831984,26201
Albanerpeton cifellii,Albanerpeton,Albanerpetontidae,Allocaudata,247987,6845
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070845,42675
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070840,42675
Albanerpeton galaktion,Albanerpeton,Albanerpetontidae,Allocaudata,1070842,42675
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,1069417,42675
Albanerpeton gracilis,Albanerpeton,Albanerpetontidae,Allocaudata,1069419,42675
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1217120,52039
Albanerpeton inexpectatum,Albanerpeton,Albanerpetontidae,Allocaudata,1217124,52039
Albanerpeton nexuosus,Albanerpeton,Albanerpetontidae,Allocaudata,1147004,42675
Albionbatrachus wightensis,Albionbatrachus,Palaeobatrachidae,Salientia,408688,10613
Ambystoma minshalli,Ambystoma,Ambystomatidae,Urodela,288101,1717
Anakamacops petrolicus,Anakamacops,Dissorophidae,Temnospondyli,789653,28776
Andrias matthewi,Andrias,Cryptobranchidae,Urodela,287370,7566
Anisodexis imbricarius,Anisodexis,Eryopidae,Temnospondyli,1242744,17702
Antarctosuchus polyodon,Antarctosuchus,NA,Temnospondyli,1286789,55307
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,517579,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,483852,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,838836,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,838889,14122
Apachesaurus gregorii,Apachesaurus,Metoposauridae,Temnospondyli,483857,12930
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131970,46574
Aphaneramma rostratum,Aphaneramma,Trematosauridae,Temnospondyli,1131972,46574
Apodops pricei,Apodops,Caeciliidae,Parabatrachia,832393,31062
